N_prog;Num_archivio;data_rilascio_prima_autorizzazione;Nome_Impresa_agricola;Azienda_zootecnica;CAP;sede_impresa_agricola;indirizzo_impresa_agricola;CCIAA;pref;tel;società;malga;PEC;indirizzo_e_mail;Altitudine;Latitudine;Longitudine;Comune_Sede_Agriturismo;Indirizzo_agriturismo;Denominazione_Agriturismo;N_appartamenti;N_stanze_in_appartamento;Tot_posti_letto_in_appartamento;N_bagni_appartamento;N_Stanze;Tot_posti_letto_in_stanze;N_bagni_in_stanze;N_tot_stanze_e_stanze_in_appartamento;Tot_posti_letto;Alloggio_in_appartamenti;Alloggio_in_stanze;Prima_colazione;Ristorazione_solo_per_alloggiati;Servizio_Ristorante_per_passanti;N_posti_tavola_interni_a_struttura;N_posti_tavola_esterni_alla_struttura;N_tot_posti_tavola;N_tot_Bagni;Agricampeggio;N_piazzole;N_tot_posti_in_campeggio;Fattoria_didattica;Altre_attività_ricreative;Degustazione;Classificazione_punteggio_tabella_1;Classificazione_punteggio_tabella_2;Classificazione_punteggio_tabella_3;ASSEGNAZIONE_MARGHERITE
224;557;11/11/2008;SANTORUM MAURIZIO;no;38062;Arco;Via Serafini n. 2;172943;0000;0;no;no;maurizio.santorum@pec.agritel.it;;0;;;Arco;Via Cerere, 48;SANTORUM;2;4;6;2;10;22;7;14;28;si;si;no;no;no;0;0;0;0;no;0;0;no;;no;18;12;7;2
225;558;18/11/2008;PATERNO PAOLO;no;38059;Strigno;Via Canonica 8;144739;0461;763874;no;no;PAOLOMONTIECIELO@PEC.IT;;0;;;Strigno;Loc. Noslè;MONTI E CIELO;0;0;0;0;0;0;0;0;0;no;no;no;no;no;0;0;0;0;no;0;0;si;;si;;;;
226;559;05/11/2008;BERTOLINI SERGIO;no;38065;Mori;Frazione Manzano - Via Armani 3;175460;0464;910526;no;no;no pec;;0;;;Mori;Loc. Manzano - Via Armani n. 3;EL VECIO FENIL;3;4;9;3;0;0;0;4;9;si;no;no;no;no;0;0;0;0;no;0;0;no;;no;18;12;7;2
227;560;17/12/2008;BONOMI IVANA;no;38073;Cavedine ; Vigo Cavedine - Masi di Sopra 3;175392;0461;566071;no;no;IVANA.BONOMI@PEC.AGRITEL.IT;;0;;;Cavedine;Via Masi di Sopra n. 9/2;CAMPO FIORITO;0;0;0;0;5;8;5;5;8;no;si;si;no;si;40;0;40;1;no;0;0;no;;no;32;17;11;2
228;561;12/01/2009;MENEGATTI REMO;no;38060;Nago Torbole;Via Matteotti n. 9/A;79526;0464;505824;no;no;remo.menegatti@pec.agritel.it;;0;;;Nago Torbole;Via alle Peschere n. 4;AGRITUR LAURA;6;12;24;6;0;0;0;12;24;si;no;no;no;no;0;0;0;0;no;0;0;no;;no;27;29;15;4
229;563;31/12/2008;SEVEGNANI MANUELA;no;38047;Segonzano;Loc. Piazzo n. 24;179593;0461;686485;no;no;manuela.sevegnani@pec.agritel.it;;0;;;Segonzano;Loc. Piazzo;LA BAITELA;1;1;4;1;0;0;0;1;4;si;no;no;no;no;0;0;0;0;no;0;0;no;;no;24;25;11;3
230;564;26/01/2009;Azienda Agricola Raffaelli Paolo S.S.A.;no;38065;Mori;Fraz. Loppio n. 1;198201;0464;918494;si;no;AZIENDAAGRICOLARAFFAELLIPAOLO@PEC.COLDIRETTI.IT;;0;;;Mori;Via Loppio n. 1;L'ALBERO DELLE MELE;0;0;0;0;0;0;0;0;0;no;no;no;no;no;0;0;0;0;si;15;30;no;;no;14;31;4;2
231;565;04/02/2009;MARGONI GIUSTINO;no;38100;Gardolo di Trento;Via Bolzano 39;137810;0348;343067;no;no;no pec;;0;;;Vezzano;Loc. Campi alla Casetta;Agritur Giustino il contadino - Campi alla Casetta;0;0;0;0;2;4;2;2;4;no;si;si;no;si;40;20;60;2;no;0;0;si;;no;25;36;18;4
232;567;10/12/2008;PEDERZOLLI ABRAMO;no;38070;Vezzano;Via Alle Saline 3 - fraz. Fraveggio;154404;0461;340078;no;no;abramo.pederzolli@cia.legalmail.it;;0;;;Vezzano;Loc. Fraveggio Via Alle Saline n. 3 ;LA FATTORIA;0;0;0;0;4;7;3;4;7;no;si;si;si;no;10;0;10;1;no;0;0;si;;si;24;28;19;3
233;568;24/02/2009;Azienda Agricola Mel'Alpina di Zanoni Diego S.a.S.;no;38023;Cles;Via Guardi 4;182527;0349;5579460;si;no;AZAGRMELALPINA@CIA.LEGALMAIL.IT;;0;;;Cles;Via Friena n. 11;AL CERMOLO;0;0;0;0;3;6;3;3;6;no;si;si;no;no;0;0;0;0;no;0;0;no;;no;32;33;15;4
234;569;14/04/2008;NICOLLI ALESSANDRO;no;38123;Trento;Mattarello - via Crozzoli 4;158834;0333;7614660;no;no;alessandro.nicolli@pec.agritel.it;;0;;;Trento;Via Delle Ischie n. 37;LOCANDA DE L'ARGUTA;0;0;0;0;8;18;8;8;18;no;si;si;no;no;0;0;0;0;si;7;28;no;;si;28;25;10;3
235;570;03/03/2009;CALLIARI GABRIELE;no;38013;Malosco;Via Belvedere, n. 24;149158;0463;830141;no;no;gabriele.calliari@pec.agritel.it;;0;;;Malosco;Via Belvedere, n. 24;Azienda Agricola Calliari Gabriele;0;0;0;0;0;0;0;0;0;no;no;no;no;no;0;0;0;0;no;0;0;si;;si;16;32;12;3
236;571;18/03/2009;FORMOLO MATTEO;no;38010;Sporminore;Via Maron n. 2;198892;0461;643021;no;no;no pec;;0;;;Sporminore;Via Maron, n. 4;SANDRO;0;0;0;0;0;0;0;0;0;no;no;no;no;si;47;0;47;2;no;0;0;no;;no;21;19;1;2
237;572;09/04/2009;LARENTIS MICHELA;no;38060;Cimone;Loc. Cimoneri n. 9;200150;0349;6006994;no;no;no pec;;0;;;Cimone;Loc. Pifferi n. 26 - Loc. Cimoneri;CA' DEI VELI;0;0;0;0;0;0;0;0;0;no;no;no;no;si;35;0;35;1;no;0;0;no;;si;14;33;4;2
238;573;15/05/2009;BRENTARI HERMANN;no;38010;Smarano;Piazza Don L. Dal Ponte 5/D;181814;0463;536596;no;no;brentari.hermann@cia.legalmail.it;;0;;;Smarano;Via G. Meneghelli, 4/B;AGRITUR BELLA DI BOSCO;0;0;0;0;6;16;6;6;16;no;si;si;no;no;0;0;0;0;no;0;0;no;;no;30;30;10;3
239;574;27/05/2009;Società Allevatori Monte Bondone S.S.A;no;38123;Trento;Loc. Candriai - Malga Brigolina;200512;0348;5667141;si;si;MONTEBONDONE@PEC.COLDIRETTI.IT;;0;;;Trento;Loc. Malga Brigolina;MALGA BRIGOLINA;0;0;0;0;0;0;0;0;0;no;no;no;no;si;?;60;60;1;no;0;0;si;;si;22;29;11;3
240;575;04/06/2009;BERTAMINI  CARLO;no;38062;Arco;Via Madonnina, n. 5/A;148265;0464;531558;no;no;carlo.bertamini@pec.agritel.it;;0;;;Arco;Via Madonnina n. 5/A;AGRITUR OLIVI;5;10;20;6;0;0;0;10;20;si;no;no;no;no;0;0;0;0;no;0;0;no;;no;28;12;9;2
241;576;01/04/2009;CLEMENTI SERGIO;no;38010;Nave S. Rocco;Loc. Tremol 4/A;200151;0329;8931977;no;no;CLEMENTISERGIO@PEC.IT;;0;;;Nave S. Rocco;Loc. Tremol 4/B;CLEMENTI;2;4;8;3;3;5;3;7;13;si;si;si;no;no;0;0;0;0;no;0;0;no;;no;15;5;4;2
242;577;30/06/2009;SPILLER CRISTIANO GIOVANNI;no;36035;Marano Vicentino;Via S. Lucia 46;315865;0445;621295;no;si;no pec;;0;;;Levico Terme;Loc. Passo Vezzena - Via per Luserna 5;MALGA BASSON DI SOTTO;0;0;0;0;0;0;0;0;0;no;no;no;no;no;0;0;0;0;no;0;0;no;;si;;;;
243;581;20/07/2009;DELUCA ANDREA;no;38036;Pozza di Fassa;Strada del Piz 21;150211;0462;763159;no;no;andrea.deluca@pec.agritel.it;;0;;;Pozza di Fassa;Strada del Piz n. 23;AGRITUR MAJON DE COLUZI;3;7;15;3;5;9;5;12;24;si;si;si;no;no;0;0;0;0;no;0;0;no;;no;27;9;2;2
244;582;24/06/2009;SOCIETA' AGRICOLA POZZE DI SOTTO S.S.;si;38030;Daiano;Loc. Pozze di Sotto n. 1;200985;0327;1635600;si;si;POZZEDISOTTO@PEC.IT;;0;;;Pozza di Fassa;Località Valle dei Monzoni;MALGA MONZONI;0;0;0;0;0;0;0;0;0;no;no;no;no;si;20;20;40;3;no;0;0;no;;si;15;20;2;2
245;582/bis;16/07/2013;SOCIETA' AGRICOLA POZZE DI SOTTO S.S.;si;38030;Daiano;Loc. Pozze di Sotto n. 1;200985;0327;1635600;si;si;POZZEDISOTTO@PEC.IT;;0;;;Pozza di Fassa;Loc. Val Giumella;MALGA GIUMELLA;0;0;0;0;0;0;0;0;0;no;no;no;no;si;10;10;20;3;no;0;0;no;;no;11;17;3;2
246;583;29/05/2009;RAOTA LUCIA;no;38057;Pergine Valsugana;Loc. Masi di Mezzo 35/B;174358;0461;548222;no;no;lucia.raota@pec.agritel.it;agritur.masolaite@email.it;0;;;Pergine Valsugana;Loc. Masi di Mezzo n. 35/B;MASO LAITE;1;3;7;2;2;4;2;5;11;no;si;si;no;no;0;0;0;0;no;0;0;no;;no;35;26;16;4
247;584;05/06/2008;DEVIGILI FERRUCCIO;no;38015;Lavis;Loc. Maso Toldin 12;182983;0461;870295;no;no;ferruccio.devigili@cia.legalmail.it;;0;;;Lavis;Pressano - Loc. Maso Toldin 12;AGRITUR MASO TOLDIN;2;4;10;2;0;0;0;4;10;si;no;no;no;no;0;0;0;0;no;0;0;no;;no;;;;
248;585;05/06/2008;DEVIGILI CIRO;no;38015;Lavis;Loc. Maso Toldin 12;165955;0461;870000;no;no;ciro.devigili@cia.legalmail.it;;0;;;Lavis;Pressano - Loc. Maso Toldin 12;AGRITUR MASO TOLDIN;0;0;0;0;2;2;2;2;2;no;si;si;no;no;0;0;0;0;no;0;0;no;;no;;;;
249;587;10/06/2009;ZANONI CLAUDIO;no;38066;Riva d/Garda;Via Grez 78;139065;0464;521252;no;no;claudio.zanoni@pec.agritel.it;;0;;;Riva d/Garda;Via Grez 78;CASA DI CAMPAGNA;1;1;3;1;0;0;0;1;3;si;no;no;no;no;0;0;0;0;no;0;0;no;;no;25;12;11;2
250;588;28/04/2009;COLPI MIRELLA;no;38064;Folgaria;Via Maffei 130;165195;0329;512463;no;si;MIRELLA@PEC-MAIL.EU;;0;;;Folgaria;Loc. Valle Orsara;MALGA VALLORSARA;0;0;0;0;5;10;0;5;10;no;si;si;no;si;30;0;30;1;no;0;0;no;;si;23;28;10;3
251;589;16/09/2009;FEDRIZZI ANDREA;no;38016;Mezzocorona;Via Dei Camorzi n. 17;199833;0349;5432286;no;no;FEDRIZZIANDREA@PEC.IT;;0;;;Mezzocorona;Via Dei Camorzi n. 17;MASO CAMORZ;1;3;6;1;10;20;10;13;26;si;si;si;no;si;25;0;25;1;no;0;0;no;;no;;;;
252;590;06/10/2009;DALSASSO GIUSEPPE;no;38050;Castelnuovo;loc. Spagolle n. 9/A;150535;0340;3915115;no;no;PEC.CLIENTI@ACLITRENTINE.LEGALMAIL.IT;;0;;;Castelnuovo;Loc. Spagolle n. 9/A;AGRITUR DALSASSO;6;10;21;6;0;0;0;10;21;si;no;no;no;no;0;0;0;0;no;0;0;no;;no;19;10;4;2
253;591;19/10/2009;SOCIETA' SEMPLICE AGRICOLA CAINELLI TRENTINO VIVAI;no;38123;Trento;Via Alla Veduta 148;185022;0348;5250247;si;no;VIVAICAINELLI@PEC.CONFAGRICOLTURATN.IT;;0;;;Trento;Loc. Cognola - Via Alla Veduta 148;AGRITUR ALLA VEDUTA;0;0;0;0;8;21;8;8;21;no;si;si;no;no;0;0;0;0;no;0;0;no;;no;22;28;10;3
254;592;09/09/2009;PELLEGRINI FABIO;no;38066;Riva del Garda;Via Pernone n. 30/A;145349;0349;3589379;no;no;fabio.pellegrini@pec.agritel.it;;0;;;Riva d/Garda;Via Ballino 13/C;FIORE D'ULIVO;0;0;0;0;3;6;3;3;6;no;si;si;no;no;0;0;0;0;no;0;0;no;;no;14;5;1;2
255;593;20/07/2009;PIFFER DIEGO;no;38015;Lavis;Loc. Torbisi n. 3/1;101685;0461;241727;no;no;pifferdiego@pec.trovarti.it;;0;;;Lavis;Loc. Torbisi 3/1;AGRITUR PIFFER;0;0;0;0;5;8;4;5;8;no;si;si;no;no;0;0;0;0;no;0;0;no;;no;;;;
256;594;10/12/2009;RIGO GABRIELLA;no;38051;Borgo;Via Temanza 7;150211;0461;754116;no;no;GABRIELLA.RIGO@PEC.AGRITEL.IT;agriturrelle@virgilio.it;0;;;Strigno;Loc. Relle;RIGO GABRIELLA;0;0;0;0;3;7;2;3;7;no;si;si;no;no;0;0;0;0;no;0;0;no;;no;;;;
257;595;16/12/2009;LARCHER GINO;no;38019;Tuenno;Via Coltura 69;95033;0336;261042;no;no;LARCHER.GINO@PEC.IT;;0;;;Brez;Via Case Sparse 10;AGRITUR MASO FORCOLA;4;4;10;4;2;4;2;6;14;si;si;si;no;si;20;0;20;2;no;0;0;si;;no;24;14;11;2
258;598;14/12/2009;JORI PAOLA;no;38062;Arco;Via S. Bernardino 5;180047;0464;519543;no;no;LAGHEL7@PEC.IT;;0;;;Arco;Loc. Laghel n. 7;LAGHEL 7;2;2;8;2;0;0;0;2;8;si;no;no;no;no;0;0;0;0;no;0;0;no;;no;27;31;13;3
259;599;26/01/2009;Az. Agr. Troticoltura Armanini S.S. ;no;38089;Storo;Loc. Ponte dei Tedeschi, 2;172008;0465;685057;si;no;ARMANINISS@PEC.IT;;0;;;Storo;Via Ponte dei Tedeschi 2;Azienda Agricola Troticoltura Armanini S.S.;0;0;0;0;0;0;0;0;0;no;no;no;no;no;0;0;0;0;no;0;0;si;;si;16;33;16;3
260;600;28/12/2009;TOSOLINI GABRIELLA;no;38013;Fondo;Via Merano n. 52;157338;0463;830224;no;no;gabriella.tosolini@pec.agritel.it;arcobalenoagri@hotmail.it;0;;;Fondo;Via Battisti 75;AGRITUR ARCOBALENO;0;0;0;0;5;8;4;5;8;no;si;si;no;no;0;0;0;0;no;0;0;no;;no;34;7;5;2
261;601;24/12/2009;MASOCCO MAURIZIO;no;38033;Cavalese;Via Cavazzal n. 10;153749;0462;341001;no;no;MASOCCO.MAURIZIO@PEC.IT;;0;;;Cavalese;Via Gastaldo 16;PIANRESTEL;0;0;0;0;10;20;10;10;20;no;si;si;no;si;40;0;40;2;no;0;0;no;;si;38;31;22;5
262;602;19/11/2009;FILIPPI FABRIZIO;no;38020;Livo;Fr. Scanna, 8;151058;0463;533446;no;no;filippi.fabrizio@cia.legalmail.it;;0;;;Livo;Fraz. Scanna 7;MEZZALONE;1;2;4;1;4;9;3;6;13;si;si;si;no;no;0;0;0;0;no;0;0;no;;no;30;26;10;3
263;603;29/12/2009;WEISS LUIGI;no;38039;Vigo di Fassa;Strada De Sora Pozat 11;157881;0338;4340696;no;no;luigi.weiss@pec.agritel.it;;0;;;Vigo di Fassa;Strada De Sora Pozat 11;AGRITUR WEISS;0;0;0;0;8;19;8;8;19;no;si;si;no;si;20;0;20;1;no;0;0;no;;si;33;25;15;4
264;604;30/12/2009;DALPIAZ MATTEO;no;38010;Tassullo;Via Di Campo n.42;162704;0463;450881;no;no;DALPIAZMATTEO@PEC.CONFAGRICOLTURATN.IT;;0;;;Tassullo;Via Castel Valer 15;LE PERGOLETTE;3;4;11;3;2;5;0;6;16;si;si;si;no;no;0;0;0;0;no;0;0;no;;si;24;25;12;3
265;605;30/12/2009;Agritur Cazzuffi di Cazzuffi Claudio S.S.A.;no;38020;Peio;Fraz. Cogolo - Località Pont ;202994;0348;3608026;si;no;AGRITURCAZZUFFI@PEC.AGRITEL.IT;;0;;;Peio;Loc. Pont;AGRITUR CAZZUFFI DI CAZZUFFI CLAUDIO SOCIETA' SEMPLICE AGRICOLA;0;0;0;0;0;0;0;0;0;no;no;no;no;si;28;0;28;2;no;0;0;no;;si;18;23;7;2
266;606;29/07/2009;BONGIOVANNI LORENZO;no;38063;Avio;Via S. Antonio n. 28;147759;0464;684388;no;no;lorenzo.bongiovanni@pec.agritel.it;;0;;;Avio;Via S. Antonio 28;VINOTECA BONGIOVANNI;0;0;0;0;0;0;0;0;0;no;no;no;no;no;0;0;0;0;no;0;0;no;;si;;;;
267;608;20/01/2010;Azienda agricola Pojer & Sandri di Sandri Fiorentino & C.S.S.;no;38010;Faedo;Loc. Molini n.4;99824;0461;650342;si;no;POJERESANDRI@PEC.IT;;0;;;Cembra;Loc. Valbona 1;MASO BESLER;3;6;8;4;2;4;2;8;12;si;si;si;no;no;0;0;0;0;no;0;0;no;;si;;;;
268;609;29/05/2009;CAPRA MAURO;no;38050;Carzano;Via Castelnuovo 8;149538;0335;8309249;no;no;MAUROCAPRA63@PEC.IT;;0;;;Carzano;Via 18 Settembre;AGRITUR CAPRA MAURO;0;0;0;0;4;10;4;4;10;no;si;no;no;no;0;0;0;0;no;0;0;no;;no;18;18;8;2
269;610;03/02/2010;PRET FULVIO;no;38010;Smarano;Via Fontana, n. 7;155280;0463;536842;no;no;fulvio.pret@pec.agritel.it;;0;;;Smarano;Via Fontana 7;AGRITUR DAL PRET;0;0;0;0;4;8;4;4;8;no;si;si;no;no;0;0;0;0;no;0;0;no;;no;26;20;13;2
270;611;24/11/2009;BOSETTI ALESSANDRO;no;38015;Lavis;fr. Nave S. Felice - Loc. Maso Rover 4;148612;0348;7379367;no;no;alessandro.bosetti@pec.agritel.it;;0;;;Lavis;Loc. Maso Rover;MASO ROVER;0;0;0;0;6;11;3;6;11;no;si;si;no;no;0;0;0;0;no;0;0;no;;no;;;;
271;613;15/03/2010;RESS GIANFRANCO;no;38030;Giovo;Via Nazionale n. 48;182626;0461;684690;no;no;gianfranco.ress@pec.agritel.it;;0;;;Giovo;Fraz. Ceola;AGRITUR RESS GIANFRANCO;0;0;0;0;10;19;8;10;19;no;si;si;no;no;0;0;0;0;no;0;0;no;;no;23;13;5;2
272;614;21/04/2010;PAOLAZZI EMANUELA;no;38030;Cembra;Via  Monreale 9;174711;0461;683173;no;no;emanuela.paolazzi@pec.agritel.it;;0;;;Faver;Loc. Vallata 1;ALL'OLIVO;0;0;0;0;5;13;5;5;13;no;si;si;no;no;0;0;0;0;no;0;0;no;;no;24;15;4;2
273;615;14/05/2010;POLLINI WALTER;no;38010;Coredo;Fraz. Tavon - Via del Pin 10;171879;0463;536472;no;no;POLLINI.WALTER@PEC.IT;;0;;;Coredo;fr. Tavon - Via del Pin 10;ALPENVIDEHOF;4;7;17;5;0;0;0;7;17;si;no;no;no;no;0;0;0;0;no;0;0;no;;no;24;8;2;2
274;616;13/05/2010;DEPAOLI ARRIGO;no;38010;Cordeo;Via Alle Ville 11;199440;0334;7806728;no;no;A.DEPAOLI@CONAFPEC.IT;;0;;;Coredo;Via Alle Ville 11;ARRY'S FARM;4;8;17;4;0;0;0;8;17;si;no;no;no;no;0;0;0;0;no;0;0;no;;no;15;11;5;2
275;617;06/02/2009;GELPI RICCARDO;no;38013;Fondo;Fraz. Vasio 52;182674;0349;4731441;no;no;no pec;;0;;;Fondo;Fraz. Vasio n. 52;AGRITUR CASTEL VASIO;0;0;0;0;5;10;2;5;10;no;si;si;no;no;0;0;0;0;no;0;0;no;;no;;;;
276;618;30/07/2008;SANDRI CARLO;no;38050;Villa Agnedo;Via Delle Margere n. 9;166551;0348;6535975;no;si;SANDRI.CARLO@PEC.IT;;0;;;Castello Tesino;Loc. Passo Brocon;AGRITUR MALGA VALFONTANE;0;0;0;0;3;5;1;3;5;no;si;si;no;si;10;10;20;1;no;0;0;no;;si;21;28;3;2
277;619;24/05/2010;AVANCINI FRANCESCO;no;38021;Brez;fraz. Traversara Civico n. 51;157668;0339;1851407;no;no;francesco.avancini@pec.agritel.it;;0;;;Brez;Fraz. Traversara civico 51;AGRITUR LA CORTE NONESA;0;0;0;0;5;12;5;5;12;no;si;si;no;no;0;0;0;0;no;0;0;no;;no;31;25;10;3
278;620;24/06/2010;MICH LORENZA;no;38038;Tesero;Via Roma n.1;174028;0349;8385989;no;no;lorenza.mich@pec.agritel.it;;0;;;Tesero;Via Cerin 6;AGRITUR ARTEMISIA;0;0;0;0;5;13;5;5;13;no;si;si;no;no;0;0;0;0;no;0;0;si;;no;33;17;15;2
279;621;30/06/2010;FORMOLO TIZIANO;no;38010;Sporminore;Via Maron n. 6;198893;0348;7690675;no;no;tiziano.formolo@pec.agritel.it;info@agritrursandro.it;0;;;Sporminore;Via Maron 4;AGRITUR SANDRO;0;0;0;0;7;14;7;7;14;no;si;no;no;no;0;0;0;0;no;0;0;no;;no;25;12;9;2
280;623;09/07/2010;BOSIN VALENTINO;no;38037;Predazzo;Strada Ai Bersagli 2;172435;0339;1881147;no;no;BOSINVALENTINO@PEC.IT;info@agriturcolverde.it ;0;;;Predazzo;Strada ai Bersagli 2;AGRITUR COL VERDE;0;0;0;0;8;18;8;8;18;no;si;si;no;no;0;0;0;0;no;0;0;no;;si;31;25;16;4
281;624;06/07/2010;SALAMON ROSA;no;38065;Mori;Fraz. Nomesino Via Dei Mille 8;174897;0464;917284;no;no;rosa.salamon@pec.agritel.it;;0;;;Mori;Fraz. Nomesino - Via Dei Mille 8;LA CORT DI NONA ROSA;0;0;0;0;3;8;3;3;8;no;si;no;no;no;0;0;0;0;no;0;0;no;;no;24;16;4;2
282;625;17/08/2010;PALUSELLI KATIA;no;38038;Tesero;Via S. Libera, n. 16;188225;0462;814047;no;no;MASOSANTALIBERA@PEC.CONFAGRICOLTURATN.IT;;0;;;Tesero;Via S. Libera 16;MASO SANTA LIBERA;0;0;0;0;6;12;6;6;12;no;si;si;no;no;0;0;0;0;no;0;0;no;;no;27;36;10;3
283;626;09/08/2010;DALLONA ERMAN;no;38030;Giovo;Fraz. Palù Piazza Alpini 11;171324;0338;3035723;no;no;erman.dallona@pec.agritel.it;;0;;;Giovo;Fraz. Serci civico 8/A;AGRITUR AI SERCI;2;3;9;2;0;0;0;3;9;si;no;no;no;si;25;0;25;2;no;0;0;no;;no;29;26;15;4
284;627;01/07/2010;DALPIAZ SILVIO;no;38020;Cis;Via Plan 15;150480;0463;533402;no;no;AGRITURDUEVALLI@PEC.IT;;0;;;Cis;Via Plan 15;AGRITUR DUE VALLI;0;0;0;0;4;10;4;4;10;no;si;si;no;no;0;0;0;0;no;0;0;no;;no;31;13;1;2
285;628;20/07/2010;BRENTARI FRANCESCO;no;38010;Coredo;Via Al Castel Bragher n. 8;148157;0463;537045;no;no;BRENTARIF@PEC.IT;;0;;;Coredo;Via Al Castel Bragher 8;CORYLETUM - BOSCO DI NOCCIOLI;0;0;0;0;3;7;3;3;7;no;si;si;no;no;0;0;0;0;no;0;0;no;;no;29;14;7;2
286;629;02/09/2010;COVELI BRUNO;no;38060;Villa Lagarina;Loc. Cesuino;180912;0328;8546068;no;no;bruno.coveli@pec.agritel.it;;0;;;Villa Lagarina;Località Cesuino 17;MASO SPEZIAL;0;0;0;0;7;16;7;7;16;no;si;si;no;no;0;0;0;0;no;0;0;si;;si;37;36;20;5
287;630;09/09/2010;Azienda Agricola Le Pezzate di Vinante Fabio;no;38030;Panchia';Via Cavelonte n. 23/A;204834;0348;7120227;si;si;LEPEZZATE@PEC.COLDIRETTI.IT;;0;;;Ziano di Fiemme;Loc. Sadole;MALGA SADOLE;0;0;0;0;0;0;0;0;0;no;no;no;no;si;20;15;35;1;no;0;0;no;;si;;;;
288;631;11/08/2010;CORAZZA ADRIANO;no;38021;Brez;Loc. Salobbi 7;186725;0463;889432;no;no;AGRITURPISANI@PEC.IT;;0;;;Brez;Loc. Salobbi 7;AGRITUR PISANI;0;0;0;0;5;10;5;5;10;no;si;si;no;no;0;0;0;0;no;0;0;no;;no;32;13;8;2
289;632;30/08/2010;RIZZI FRANCESCO;no;38021;Brez;Via 4 Novembre 8;164555;0339;2997713;no;no;no pec;;0;;;Brez;Via 4 Novembre 8;VILLANUOVA VACANZE;2;4;9;4;0;0;0;4;9;si;no;no;no;no;0;0;0;0;no;0;0;no;;no;29;29;17;4
290;633;14/08/2010;ENDRIZZI MIRKO;no;38010;Fai d/Paganella;Via Molini 25;172755;0340;2285316;no;no;FILODERBA@PEC.COLDIRETTI.IT;;0;;;Fai d/Paganella;Via Carmelo 12/A;IL FILO D'ERBA;0;0;0;0;0;0;0;0;0;no;no;no;no;si;54;0;54;2;no;0;0;si;;si;22;31;13;3
291;634;23/11/2010;VALLE SILVANO;no;38068;Rovereto;Via Parteli 25;116837;0328;6834421;no;no;SILVANO.VALLE@PEC.IT;;0;;;Rovereto;Loc. Masi Brenta - Senter 3;MASI BRENTA;0;0;0;0;11;18;11;11;18;no;si;si;no;no;0;0;0;0;no;0;0;no;;no;33;16;9;2
292;635;19/11/2010;FACCI ANDREA;no;38017;Mezzolombardo;Via Trento n. 87/3;194965;0348;4975501;no;no;andrea.facci@pec.agritel.it;;0;;;Fai d/Paganella;Via Carmelo 18/A;AGRITURISMO FLORANDONOLE;0;0;0;0;6;18;6;6;18;no;si;si;no;si;20;0;20;1;no;0;0;si;;si;30;28;15;4
293;636;13/12/2010;Azienda Agricola Maso Fiorini Società Semplice Agricola;no;38060;Isera;Loc. Maso Fiorini n. 1;205102;0348;8872541;no;no;MASOFIORINI@POSTAGARANTITA.EU;;0;;;Isera;Loc. Maso Fiorini n. 1;MASO FIORINI;0;0;0;0;8;18;8;8;18;no;si;si;no;no;0;0;0;0;no;0;0;no;;no;33;15;11;3
294;637;07/12/2010;FILIPPI GIORDANO;no;38022;Caldes;Via Strada Nazionale 155;203521;0463;902132;no;no;giordano.filippi1964@pec.agritel.it;;0;;;Caldes;Fraz. Bordiana - Via del Brenz 47;LA PERGOLA;0;0;0;0;0;0;0;0;0;no;no;no;no;si;25;0;25;2;no;0;0;no;;no;16;20;8;2
295;638;12/11/2010;Azienda Agricola Cornasest di Salvadori Luisa Società Agricola;no;38081;Bondo;Via Mezzane, n. 195;205464;0339;7748813;si;no;cornasest@lamiapec.it;;823;;;Bondo;Via Mezzane, n. 195;AGRITUR CORNASEST;0;0;0;0;5;10;5;5;10;no;si;si;no;no;0;0;0;0;no;0;0;no;;no;33;29;10;3
296;639;21/12/2010;Azienda Agricola Menapace Ezio & Figli Società Semplice;no;38023;Cles;Via Diaz n. 30;185137;0463;421080;si;no;EZIOEFIGLISS@PEC.IT;;0;;;Cles;Via Diaz n. 28;AGRITUR RIBOSC;5;11;22;5;0;0;0;11;22;si;no;no;no;no;0;0;0;0;no;0;0;no;;no;21;19;6;2
297;640;21/12/2010;DONINI VILMA;no;38018;Andalo;Via Clamer 21;196269;0333;1000647;no;no;no pec;;0;;;Molveno;Via Belvedere n. 50;AGRITUR AI CASTIONI;0;0;0;0;5;11;5;5;11;no;si;si;no;si;25;0;25;2;no;0;0;si;;si;36;30;16;4
298;641;29/12/2010;PEDRIN GIULIANO;no;38056;Levico Terme;Loc. Masi Rossi 10 - fraz. Selva;205654;0461;707379;no;no;giuliano.pedrin@cia.legalmail.it;;0;;;Levico Terme;Fraz. Selva - Via Masi Rossi 10;MASO ROSSO;0;0;0;0;6;9;6;6;9;no;si;si;no;si;45;0;45;2;no;0;0;no;;no;28;17;1;2
299;642;16/02/2011;TESSADRI ELVIO;no;38057;Pergine Valsugana;Via Per Trento 1;157354;0348;1543225;no;no;TESSADRIELVIO@PEC.IT;;0;;;Pergine Valsugana;Via Dei Prati 36;CASA DEI PICCOLI FRUTTI;4;7;16;4;3;5;3;10;21;si;si;si;no;no;0;0;0;0;no;0;0;no;;no;26;26;10;3
